id,Date,number of bedrooms,number of bathrooms,living area,lot area,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,Total Rooms,House Age,Living Area Ratio,number of floors_1.5,number of floors_2.0,number of floors_2.5,number of floors_3.0,number of floors_3.5
6762815986,0,3,1.75,2360,7291,0,0,4,8,1360,1000,1948,0,122016,52.7574,-114.574,1860,5499,2,75,13.329379172803593,4.75,77,0.3236867370731038,False,False,False,False,False
6762816059,0,4,2.5,2730,12261,0,0,3,9,2730,0,1991,0,122017,52.9719,-114.395,2730,10872,2,70,13.325305854052747,6.5,34,0.22265720577440665,False,True,False,False,False
6762816236,0,3,2.5,3240,33151,0,2,3,10,3240,0,1995,0,122018,52.5556,-114.568,4050,24967,1,71,13.311331132544721,5.5,30,0.09773460830744171,False,True,False,False,False
6762816633,0,3,1.75,2330,14892,0,0,3,8,1970,360,1980,0,122019,52.8567,-114.236,2570,14217,1,60,13.285333904916369,4.75,45,0.15645984421165726,False,False,False,False,False
6762817449,0,4,2.5,3310,6500,0,0,3,8,3310,0,2012,0,122008,52.745,-114.06,2380,5000,2,80,13.22672519452875,6.5,13,0.5092307692307693,False,True,False,False,False
6762817570,0,4,2.5,1940,10500,0,0,4,7,1140,800,1976,0,122005,52.913,-114.304,2200,10500,1,58,13.217675375388819,6.5,49,0.18476190476190477,False,False,False,False,False
6762817571,0,3,1.75,2910,35200,0,0,3,8,2910,0,1979,0,122020,52.8047,-114.225,2590,37500,3,50,13.217675375388819,4.75,46,0.08267045454545455,True,False,False,False,False
6762819227,0,4,2.5,2860,3345,0,0,3,8,2190,670,2004,0,122021,53.0035,-114.348,2860,3596,3,73,13.122265372602016,6.5,21,0.8550074738415545,False,True,False,False,False
6762819342,0,4,1.75,1600,6380,0,0,3,8,1130,470,1959,0,122022,52.931,-114.496,1090,6380,3,50,13.112315061750808,5.75,66,0.2507836990595611,False,False,False,False,False
6762819448,0,4,1.75,2190,125452,0,2,3,9,2190,0,1968,0,122023,52.5003,-114.259,3000,125017,3,64,13.105219253155285,5.75,57,0.017456875936613207,False,False,False,False,False
6762819463,0,2,1.0,880,6380,0,0,3,7,880,0,1938,1994,122006,52.9224,-114.512,1340,6380,3,66,13.102162710901053,3.0,87,0.13793103448275862,False,False,False,False,False
6762819732,0,4,2.5,2710,35868,0,0,3,9,2710,0,1989,0,122024,52.605,-114.212,2780,36224,3,71,13.085701467719382,6.5,36,0.07555481208876993,False,True,False,False,False
6762820114,0,5,2.5,2210,9655,0,0,3,8,1460,750,1976,0,122017,52.9998,-114.412,2080,8633,3,79,13.060490101343552,7.5,49,0.2288969445882962,False,False,False,False,False
6762820382,0,3,1.75,1710,7320,0,0,3,7,1710,0,1948,0,122014,52.9812,-114.471,2260,8839,1,72,13.045484492893253,4.75,77,0.2336065573770492,False,False,False,False,False
6762820510,0,3,2.5,2680,5539,0,0,3,8,2680,0,2013,0,122025,52.7061,-113.924,2990,6037,2,74,13.038962203056485,5.5,12,0.48384184870915325,False,True,False,False,False
6762820718,0,3,2.5,2430,88426,0,0,4,7,1570,860,1985,0,122025,52.7128,-113.908,1560,56827,3,78,13.022545252064427,5.5,40,0.027480605251849005,False,False,False,False,False
6762821047,0,3,2.5,1270,1180,0,0,3,8,1270,0,2001,0,122026,52.8997,-114.582,1320,1180,3,61,13.007403602593786,5.5,24,1.076271186440678,False,False,False,True,False
6762821205,0,4,2.25,2160,8119,0,0,3,8,1080,1080,1966,0,122027,52.7743,-114.367,1850,9000,2,52,12.994532278619134,6.25,59,0.2660426160857248,False,False,False,False,False
6762821206,0,2,1.0,800,4850,0,0,4,7,800,0,1944,0,122026,52.8939,-114.554,1150,4365,2,60,12.994532278619134,3.0,81,0.16494845360824742,False,False,False,False,False
6762821318,0,3,2.5,1770,2875,0,0,3,8,1770,0,1990,0,122009,52.7931,-114.587,1770,3833,3,68,12.99441863605669,5.5,35,0.6156521739130435,False,True,False,False,False
6762821390,0,3,2.25,1970,35100,0,0,4,9,1970,0,1977,0,122012,52.6935,-114.181,2340,35100,2,70,12.98883427049148,5.25,48,0.05612535612535612,False,True,False,False,False
6762821424,0,3,2.5,1770,1235,0,0,3,8,1600,170,2007,0,122028,52.9265,-114.532,1680,1203,3,52,12.985652077085325,5.5,18,1.4331983805668016,False,False,False,True,False
6762821444,0,4,1.0,1450,8800,0,0,4,7,1450,0,1954,0,122027,52.8046,-114.325,1260,8942,2,62,12.983103608918753,5.0,71,0.16477272727272727,False,False,False,False,False
6762821632,0,4,1.5,1920,10000,0,0,4,7,1070,850,1954,0,122027,52.8025,-114.323,1450,10836,2,64,12.971542813248437,5.5,71,0.192,False,False,False,False,False
6762822054,0,3,2.25,2000,8030,0,0,4,8,1000,1000,1963,0,122029,52.8488,-114.304,2070,8250,1,61,12.948012371209098,5.25,62,0.24906600249066002,False,False,False,False,False
6762822175,0,3,1.5,1570,6700,0,0,4,7,1570,0,1956,0,122030,52.8322,-114.324,1570,7300,3,78,12.945628585536271,4.5,69,0.23432835820895523,False,False,False,False,False
6762822578,0,3,2.5,1930,10460,0,0,3,8,1930,0,1996,0,122015,52.7238,-114.351,2290,8228,1,63,12.917798665647773,5.5,29,0.18451242829827916,False,True,False,False,False
6762822721,0,3,2.0,1960,13100,0,2,5,8,1650,310,1957,0,122031,52.6719,-114.53,1960,10518,3,72,12.90669432231532,5.0,68,0.14961832061068703,False,False,False,False,False
6762822791,0,4,2.5,3630,42884,0,0,3,9,2300,1330,1979,0,122023,52.4917,-114.38,2830,80148,1,80,12.899222326086994,6.5,46,0.08464695457513291,True,False,False,False,False
6762823455,0,3,3.25,1320,1327,0,0,3,8,1040,280,2008,0,122032,52.8806,-114.573,1440,1263,2,51,12.861001210669146,6.25,17,0.9947249434815373,False,True,False,False,False
6762823582,0,4,1.75,1560,8700,0,0,4,7,1560,0,1967,0,122033,52.9574,-114.371,2080,8000,3,74,12.854486546624395,5.75,58,0.1793103448275862,False,False,False,False,False
6762824201,0,4,3.0,3110,7231,0,0,3,8,3110,0,1997,0,122023,52.5579,-114.381,2820,7311,3,66,12.814481318719762,7.0,28,0.430092656617342,False,True,False,False,False
6762824245,0,3,1.0,1090,6435,0,0,4,7,1090,0,1955,0,122034,52.7634,-114.555,1340,6435,3,80,12.807655372286902,4.0,70,0.16938616938616938,False,False,False,False,False
6762825272,0,3,2.0,1930,11947,0,0,4,8,1930,0,1966,0,122035,52.5972,-114.341,2200,12825,2,66,12.742568940017076,5.0,59,0.16154683184062946,False,False,False,False,False
6762825549,0,2,2.0,1350,2560,0,0,3,8,1350,0,1976,0,122005,52.8644,-114.297,1790,2560,1,77,12.721888795877375,4.0,49,0.52734375,False,False,False,False,False
6762825550,0,3,2.25,1580,16215,0,0,4,7,1580,0,1978,0,122036,52.7943,-114.087,1450,16215,3,56,12.721888795877375,5.25,47,0.09744064138143695,False,False,False,False,False
6762826461,0,3,1.0,1160,9180,0,0,3,7,1160,0,1968,0,122037,52.9727,-114.262,1160,10282,1,52,12.660331092405906,4.0,57,0.12636165577342048,False,False,False,False,False
6762826606,0,3,1.5,1340,7912,0,0,3,7,1340,0,1955,0,122038,52.9958,-114.529,1480,7940,3,65,12.653961664405365,4.5,70,0.16936299292214357,True,False,False,False,False
6762826811,0,2,1.0,850,6174,0,0,4,7,850,0,1950,0,122014,52.9652,-114.518,1100,6174,1,60,12.639480363813412,3.0,75,0.137674117265954,False,False,False,False,False
6762827056,0,3,2.5,2540,5050,0,0,3,7,2540,0,2006,0,122035,52.5658,-114.245,2280,5050,2,64,12.611541086966115,5.5,19,0.502970297029703,False,True,False,False,False
6762827347,0,2,2.5,1630,1368,0,0,3,7,1280,350,2009,0,122034,52.7789,-114.553,1590,2306,1,74,12.59473402514672,4.5,16,1.1915204678362572,False,True,False,False,False
6762827693,0,3,3.0,1850,19966,0,0,4,7,1090,760,1992,0,122024,52.5793,-114.224,1410,6715,2,58,12.567937598044296,6.0,33,0.09265751778022638,False,False,False,False,False
6762827749,0,4,2.5,2200,9397,0,0,3,8,2200,0,1987,0,122039,52.5706,-114.459,2310,9176,3,80,12.560247968016562,6.5,38,0.23411727146961797,False,True,False,False,False
6762827750,0,3,2.5,2090,10834,0,0,4,8,1360,730,1987,0,122040,52.5837,-114.493,1750,8595,2,56,12.560247968016562,5.5,38,0.19291120546427912,False,False,False,False,False
6762827836,0,3,1.75,1800,23103,0,0,3,7,1800,0,1968,0,122041,52.8817,-114.096,1410,18163,3,62,12.556733038263905,4.75,57,0.07791195948578107,False,False,False,False,False
6762828162,0,3,1.5,1180,10277,0,0,3,6,1180,0,1983,0,122025,52.718,-113.977,1680,11104,3,78,12.524530013005734,4.5,42,0.11481949985404301,False,False,False,False,False
6762828790,0,4,2.0,1480,8625,0,0,4,7,1480,0,1974,0,122042,52.692,-114.383,2130,8502,1,60,12.468440756144114,6.0,51,0.17159420289855074,False,False,False,False,False
6762828945,0,3,1.75,1370,5858,0,0,3,7,1370,0,1987,0,122043,52.6115,-114.503,1400,7500,3,56,12.460524923385575,4.75,38,0.23386821440764766,False,False,False,False,False
6762829578,0,3,1.5,1200,9720,0,0,4,7,1200,0,1965,0,122035,52.6525,-114.343,1380,10284,3,77,12.398761113062513,4.5,60,0.12345679012345678,False,False,False,False,False
6762829789,0,2,1.0,1210,9400,0,0,2,6,1210,0,1949,0,122034,52.7642,-114.55,1580,6026,3,73,12.367345048436391,3.0,76,0.12872340425531914,False,False,False,False,False
6762815750,1,4,2.75,2920,6605,0,0,3,8,2920,0,2012,0,122015,52.7209,-114.334,3030,6605,1,62,13.345508528717259,6.75,13,0.4420893262679788,False,True,False,False,False
6762817521,1,2,1.0,900,5000,0,0,3,7,900,0,1944,0,122007,52.9183,-114.585,1280,5000,1,68,13.223115088821102,3.0,81,0.18,False,False,False,False,False
6762823736,1,3,2.5,1650,14054,0,0,4,7,1130,520,1986,0,122012,52.7121,-114.207,1940,87555,2,57,12.847613324763659,5.5,39,0.11740429770883734,False,False,False,False,False
6762826674,1,3,1.0,1010,9945,0,0,4,6,1010,0,1973,0,122008,52.7624,-113.953,1390,12710,3,60,12.644330802262578,4.0,52,0.10155857214680744,False,False,False,False,False
6762813188,2,3,2.5,2850,7130,0,0,3,10,1990,860,1980,0,122044,52.833,-114.479,2280,6459,1,52,13.571527617101584,5.5,45,0.3997194950911641,False,True,False,False,False
6762813282,2,2,2.5,2680,7392,0,0,3,9,2680,0,2004,0,122045,52.947,-114.216,2315,7045,2,65,13.560619598657233,4.5,21,0.3625541125541126,False,False,False,False,False
6762815716,2,4,2.0,2280,6010,0,0,3,7,1140,1140,1900,0,122044,52.8334,-114.479,2240,6200,1,51,13.350297037805756,6.0,125,0.3793677204658902,False,False,False,False,False
6762824246,2,3,2.5,2200,7350,0,0,5,8,1570,630,1988,0,122046,52.6695,-114.351,2350,7557,2,53,12.807655372286902,5.5,37,0.29931972789115646,False,False,False,False,False
6762825730,2,4,2.5,2530,9933,0,2,3,8,2010,520,1990,0,122023,52.4954,-114.406,2140,9933,2,59,12.712742646644651,6.5,35,0.2547065337763012,False,True,False,False,False
6762810164,3,7,8.0,13540,307752,0,4,3,12,9410,4130,1999,0,122045,52.8975,-114.176,4850,217800,1,55,14.639686439527019,15.0,26,0.043996464685850944,False,False,False,True,False
6762810615,3,2,2.5,2220,4000,0,0,3,9,2220,0,2000,0,122047,52.8664,-114.47,1870,4000,3,67,14.173185701536545,4.5,25,0.555,False,True,False,False,False
6762810636,3,5,3.5,4010,8510,0,1,5,9,2850,1160,1971,0,122004,52.8878,-114.476,2610,6128,1,50,14.151983508870947,8.5,54,0.4712103407755582,False,True,False,False,False
6762811248,3,4,2.5,4340,141570,0,0,3,11,4340,0,1992,0,122045,52.9105,-114.238,2720,97138,1,73,13.901689171636098,6.5,33,0.030656212474394293,False,False,True,False,False
6762811411,3,5,2.75,3190,16920,0,3,3,9,1690,1500,1976,0,122027,52.7941,-114.35,3100,13100,1,53,13.845070331079134,7.75,49,0.18853427895981087,False,False,False,False,False
6762812053,3,3,1.0,1330,77972,0,0,3,7,1330,0,1928,1954,122010,52.9191,-114.349,1340,17689,3,52,13.710151153416941,4.0,97,0.017057405222387523,False,False,False,False,False
6762812148,3,4,4.25,4420,5750,0,0,3,10,3410,1010,2006,0,122012,52.7704,-114.263,4420,5750,1,57,13.698977865303197,8.25,19,0.768695652173913,False,True,False,False,False
6762812149,3,5,3.5,4490,6000,0,0,3,10,3200,1290,2006,0,122012,52.7696,-114.263,4530,6000,2,70,13.698977865303197,8.5,19,0.7483333333333333,False,True,False,False,False
6762812331,3,4,3.0,3690,9892,0,0,3,10,3690,0,1998,0,122020,52.8237,-114.172,3430,11294,3,62,13.670485941982712,7.0,27,0.37302871006874244,False,True,False,False,False
6762812415,3,4,2.75,2600,5390,0,0,4,8,1300,1300,1960,0,122032,52.8682,-114.587,2550,5600,2,69,13.658857917508856,6.75,65,0.48237476808905383,False,False,False,False,False
6762812659,3,4,3.0,2170,4000,0,0,4,9,1610,560,1982,2011,122047,52.8496,-114.482,1670,4000,3,73,13.630386277206295,7.0,43,0.5425,False,True,False,False,False
6762812664,3,4,2.5,3400,9692,0,0,3,9,3400,0,2007,0,122005,52.938,-114.299,3070,7375,3,58,13.629182184591333,6.5,18,0.35080478745356997,False,True,False,False,False
6762812761,3,6,1.75,2920,5000,0,0,4,9,2780,140,1908,0,122044,52.8324,-114.485,2020,5000,3,68,13.620712694725297,7.75,117,0.584,False,False,True,False,False
6762812961,3,5,2.5,3180,13806,0,0,4,10,3180,0,1990,0,122010,52.882,-114.372,3180,13798,1,76,13.593450169816983,7.5,35,0.23033463711429814,False,True,False,False,False
6762812963,3,3,2.5,3240,7857,0,0,3,10,3240,0,1994,0,122020,52.8157,-114.228,2970,7857,3,66,13.592368256649284,5.5,31,0.41237113402061853,False,True,False,False,False
6762813152,3,3,1.75,1330,7500,0,0,3,8,1330,0,1961,0,122048,52.8374,-114.385,1690,7800,3,56,13.575984798046763,4.75,64,0.17733333333333334,False,False,False,False,False
6762813210,3,4,2.5,2730,10281,0,2,3,9,2730,0,1996,0,122019,52.8527,-114.219,2750,7220,3,79,13.567050480716235,6.5,29,0.26553837175372047,False,True,False,False,False
6762813361,3,3,2.0,2350,5700,0,0,4,8,1810,540,1939,0,122047,52.869,-114.5,2170,6000,1,77,13.554147092530322,5.0,86,0.41228070175438597,True,False,False,False,False
6762813551,3,4,2.5,2120,10202,0,0,4,7,1620,500,1960,0,122049,52.8158,-114.36,1570,10762,2,73,13.534474352733596,6.5,65,0.20780239168790432,False,False,False,False,False
6762813766,3,4,1.75,2010,3600,0,0,3,7,2010,0,1902,0,122003,52.8637,-114.561,2010,3600,2,55,13.51440681653079,5.75,123,0.5583333333333333,True,False,False,False,False
6762813838,3,4,2.5,3180,21904,0,3,3,9,3180,0,2000,0,122015,52.745,-114.307,3715,29170,2,77,13.509665872657152,6.5,25,0.1451789627465303,False,True,False,False,False
6762814206,3,4,2.5,2450,4247,0,0,3,8,2450,0,2013,0,122005,52.9348,-114.303,2970,4685,1,75,13.476112645724857,6.5,12,0.5768777960913586,False,True,False,False,False
6762814291,3,3,2.5,2490,4343,0,0,3,9,2490,0,2003,0,122011,52.7793,-114.183,2130,4106,3,59,13.466493361349034,5.5,22,0.5733364034077827,False,True,False,False,False
6762814896,3,3,2.5,1680,2000,0,0,3,9,1680,0,1909,1998,122004,52.8904,-114.48,1950,5000,3,69,13.415034483903348,5.5,116,0.84,False,False,False,True,False
6762814966,3,4,2.5,2800,5900,0,0,3,8,1660,1140,1963,0,122006,52.9109,-114.476,2580,5900,2,63,13.407543823396258,6.5,62,0.4745762711864407,False,False,False,False,False
6762815131,3,4,1.0,1390,4240,0,0,3,7,1050,340,1924,0,122028,52.8896,-114.528,1810,4240,1,68,13.395593014723183,5.0,101,0.3278301886792453,False,False,False,False,False
6762815226,3,3,1.5,2160,9000,0,2,4,8,1400,760,1949,0,122050,52.9541,-114.559,3010,9000,2,75,13.384729180332174,4.5,76,0.24,False,False,False,False,False
6762815643,3,4,2.5,2440,6651,0,0,3,9,2440,0,2014,0,122007,52.9271,-114.561,1350,7653,2,77,13.356052725810846,6.5,11,0.3668621259960908,False,True,False,False,False
6762815727,3,4,2.25,1990,7712,0,0,3,8,1210,780,1973,0,122012,52.7988,-114.277,1720,7393,3,61,13.348703414510117,6.25,52,0.25803941908713696,False,False,False,False,False
6762815880,3,3,1.75,1480,2185,0,0,3,9,1480,0,2005,0,122033,52.9245,-114.36,1480,2441,2,52,13.3374763699232,4.75,20,0.6773455377574371,False,False,True,False,False
6762815955,3,3,2.0,1800,5000,0,0,4,7,1080,720,1942,0,122006,52.9038,-114.487,1800,5000,1,69,13.335054087628247,5.0,83,0.36,False,False,False,False,False
6762815987,3,4,1.75,2300,11700,0,0,4,9,1960,340,1977,0,122005,52.8631,-114.284,2840,12000,3,50,13.329379172803593,5.75,48,0.19658119658119658,False,False,False,False,False
6762816274,3,3,1.75,1670,39639,0,0,4,8,1670,0,1976,1992,122020,52.8229,-114.179,2330,30492,1,77,13.304686600863562,4.75,49,0.04213022528318071,False,False,False,False,False
6762816275,3,3,1.75,1880,6360,0,0,4,7,1040,840,1945,0,122006,52.9178,-114.476,1770,6175,2,57,13.304686600863562,4.75,80,0.29559748427672955,False,False,False,False,False
6762816667,3,2,1.0,1770,8640,0,0,3,6,1520,250,1949,0,122007,52.9226,-114.553,1060,4804,3,77,13.279368835614243,3.0,76,0.2048611111111111,True,False,False,False,False
6762816779,3,2,1.0,2540,7000,0,0,5,8,1320,1220,1942,0,122051,52.7559,-114.451,2160,6000,3,77,13.270785106659046,3.0,83,0.3628571428571429,False,False,False,False,False
6762817053,3,3,2.25,2010,6000,0,0,3,8,1330,680,1975,0,122005,52.9212,-114.305,2080,8260,2,78,13.25339339419516,5.25,50,0.335,False,False,False,False,False
6762817314,3,3,2.5,1900,8744,0,0,3,8,1900,0,1987,0,122019,52.85,-114.233,2030,8744,2,58,13.235693848424024,5.5,38,0.217291857273559,False,True,False,False,False
6762817450,3,3,2.5,1940,3211,0,0,3,8,1940,0,2009,0,122012,52.7944,-114.283,1880,3078,3,60,13.22672519452875,5.5,16,0.6041731547804422,False,True,False,False,False
6762817755,3,2,1.0,1140,5400,0,0,5,7,1140,0,1908,0,122047,52.8505,-114.484,1520,4800,1,68,13.215855541983634,3.0,117,0.2111111111111111,False,False,False,False,False
6762817756,3,4,2.5,2910,6338,0,0,3,8,2910,0,2008,0,122015,52.7104,-114.316,2500,5877,3,54,13.215855541983634,6.5,17,0.45913537393499526,False,True,False,False,False
6762817929,3,5,2.75,2740,8426,0,0,4,8,1370,1370,1960,0,122027,52.7863,-114.374,2020,8783,1,69,13.201407432744421,7.75,65,0.3251839544267743,False,False,False,False,False
6762818230,3,2,3.0,1270,1175,0,0,3,8,1110,160,2000,0,122028,52.8934,-114.53,1290,1800,1,71,13.182519183461475,5.0,25,1.0808510638297872,False,True,False,False,False
6762818400,3,5,1.75,2550,71874,0,0,5,7,1810,740,1960,0,122012,52.7145,-114.27,2170,51400,2,65,13.172845442834628,6.75,65,0.03547875448701895,False,False,False,False,False
6762818543,3,3,1.75,1560,5520,0,0,4,6,780,780,1944,0,122032,52.8815,-114.589,1470,6000,3,70,13.169248871698304,4.75,81,0.2826086956521739,False,False,False,False,False
6762818924,3,3,2.5,1790,2700,0,0,3,8,1790,0,2010,0,122012,52.794,-114.283,1890,3078,1,79,13.141971868210181,5.5,15,0.662962962962963,False,True,False,False,False
6762819061,3,4,1.0,2070,7519,0,0,3,7,1160,910,1963,0,122029,52.862,-114.309,1730,7519,2,56,13.124363376072994,5.0,62,0.2753025668306956,False,False,False,False,False
6762819262,3,4,2.5,2910,6479,0,0,3,7,2910,0,2006,0,122008,52.7702,-114.077,2320,5178,1,50,13.120363378739663,6.5,19,0.4491433863250502,False,True,False,False,False
6762819312,3,6,2.75,3200,9200,0,2,4,8,1600,1600,1953,0,122052,52.722,-114.554,2220,9500,2,56,13.116950755559445,8.75,72,0.34782608695652173,False,False,False,False,False
6762819594,3,4,1.75,2010,9211,0,0,3,7,1470,540,1977,0,122033,52.9506,-114.361,1840,8500,3,62,13.09722196411799,5.75,48,0.2182173488220606,False,False,False,False,False
6762819620,3,4,3.0,2340,7048,0,0,4,8,1340,1000,1979,0,122033,52.9606,-114.417,1440,8088,1,53,13.091906231773164,7.0,46,0.33200908059023837,False,False,False,False,False
6762819874,3,3,2.5,3040,4535,0,0,3,9,3040,0,2007,0,122053,52.74,-114.375,2670,4666,2,79,13.077368103521614,5.5,18,0.6703417861080485,False,True,False,False,False
6762820970,3,4,2.0,1480,3844,0,0,5,7,1480,0,1928,0,122038,52.9342,-114.542,1480,3844,1,73,13.015337030575438,6.0,97,0.3850156087408949,True,False,False,False,False
6762821445,3,5,2.0,1840,9240,0,0,4,7,1540,300,1942,1958,122038,52.9608,-114.53,1200,5250,3,78,12.983103608918753,7.0,83,0.19913419913419914,False,False,False,False,False
6762822174,3,2,2.5,1590,1426,0,0,3,8,1590,0,2014,0,122011,52.7741,-114.203,1590,1426,2,80,12.946081942292848,4.5,11,1.115007012622721,False,True,False,False,False
6762822204,3,3,2.0,1410,6030,0,0,4,7,1410,0,1930,0,122028,52.9294,-114.537,1410,6300,2,51,12.94323910384853,5.0,95,0.23383084577114427,True,False,False,False,False
6762822246,3,3,2.5,1408,989,0,0,3,8,1408,0,2005,0,122006,52.9156,-114.505,1408,1342,1,64,12.939130205215296,5.5,20,1.4236602628918098,False,False,False,True,False
6762822266,3,3,2.25,1620,998,0,0,3,8,1540,80,2010,0,122012,52.7701,-114.217,1620,1299,3,59,12.936036208848487,5.25,15,1.623246492985972,False,False,True,False,False
6762822453,3,3,2.25,1800,36704,0,0,4,8,1360,440,1978,0,122012,52.6988,-114.203,2730,36404,1,74,12.923914877701906,5.25,47,0.0490409764603313,False,False,False,False,False
6762822604,3,3,2.25,1410,1332,0,0,3,8,1410,0,2005,0,122028,52.9216,-114.53,1430,1448,2,70,12.91435717611903,5.25,20,1.0585585585585586,False,False,False,True,False
6762822620,3,2,3.0,1410,1240,0,0,3,8,1140,270,2006,0,122016,52.7521,-114.58,1410,1273,3,74,12.91164481522143,5.0,19,1.1370967741935485,False,True,False,False,False
6762822792,3,2,1.75,2110,9519,0,0,2,7,2110,0,1948,0,122014,52.9804,-114.496,1480,9519,2,77,12.899222326086994,3.75,77,0.22166193927933606,False,False,False,False,False
6762822793,3,2,1.0,840,5510,0,0,3,7,840,0,1955,0,122016,52.7547,-114.581,1630,5510,2,79,12.899222326086994,3.0,70,0.15245009074410162,False,False,False,False,False
6762823019,3,3,2.5,2230,4000,0,0,3,7,2230,0,1954,0,122054,52.8101,-114.496,1310,4000,3,78,12.896092440915037,5.5,71,0.5575,False,True,False,False,False
6762823544,3,5,2.5,3090,12750,0,0,3,8,1750,1340,1968,0,122018,52.5708,-114.525,1760,25919,2,63,12.860741437345885,7.5,57,0.24235294117647058,False,False,False,False,False
6762823717,3,4,1.75,1970,9389,0,0,5,7,1140,830,1960,0,122038,53.0071,-114.529,1820,8135,1,72,12.84779757601972,5.75,65,0.2098200021301523,False,False,False,False,False
6762824223,3,3,3.0,1571,10800,0,0,3,8,1571,0,2008,0,122022,52.9638,-114.499,1520,1497,1,62,12.812438422654544,6.0,17,0.14546296296296296,False,False,False,True,False
6762825311,3,5,1.0,1120,9022,0,0,4,7,1120,0,1962,0,122033,52.9596,-114.43,1310,7500,3,69,12.73670383776449,6.0,63,0.12414098869430282,True,False,False,False,False
6762825312,3,2,1.5,1160,1438,0,0,3,7,1160,0,2001,0,122054,52.8217,-114.485,1220,1740,1,72,12.73670383776449,3.5,24,0.8066759388038943,False,True,False,False,False
6762825869,3,2,1.0,1140,5250,0,0,4,6,1140,0,1949,0,122038,52.961,-114.531,1450,5250,2,65,12.706699437569211,3.0,76,0.21714285714285714,True,False,False,False,False
6762825928,3,4,2.5,2370,6500,0,0,3,9,2370,0,1998,0,122023,52.5628,-114.363,2590,6137,3,60,12.700771936142122,6.5,27,0.3646153846153846,False,True,False,False,False
